,DateTimeInterval,LotNumber,ActiveCarsCount
97736,2023-06-30 06:00:00,80,207
1017190,2024-06-29 20:00:00,38,0
753252,2024-09-07 17:00:00,40,5
997636,2022-04-07 02:00:00,38,0
124943,2022-04-08 20:00:00,70,140
761551,2021-04-21 11:00:00,24,28
1090796,2024-03-26 16:00:00,94,0
1024900,2021-01-17 01:00:00,90,0
220941,2024-07-24 16:00:00,30,97
563047,2024-08-18 17:00:00,9,1
211695,2023-07-05 10:00:00,30,120
677512,2024-09-13 23:00:00,56,79
1068473,2021-09-08 13:00:00,94,0
313093,2022-02-02 05:00:00,20,6
866925,2024-08-31 23:00:00,18,6
423245,2021-09-01 18:00:00,13,20
487049,2024-08-14 05:00:00,99,5
800211,2021-05-21 06:00:00,34,2
277314,2022-05-03 11:00:00,11,216
1069290,2021-10-12 14:00:00,94,0
352273,2022-03-25 16:00:00,60,11
601497,2024-09-08 18:00:00,33,1
907417,2024-12-16 02:00:00,8,7
248403,2023-05-14 21:00:00,10,14
169610,2023-01-13 22:00:00,50,108
888454,2022-10-17 23:00:00,8,12
971718,2023-08-21 05:00:00,65,0
1009861,2023-08-29 11:00:00,38,0
314946,2022-04-20 10:00:00,20,60
922244,2022-04-27 20:00:00,51,17
314922,2022-04-19 10:00:00,20,63
385668,2021-09-17 02:00:00,6,3
353105,2022-04-29 08:00:00,60,10
182221,2024-06-22 09:00:00,50,134
464256,2022-01-07 12:00:00,99,20
313062,2022-01-31 22:00:00,20,9
219863,2024-06-09 18:00:00,30,113
275560,2022-02-19 09:00:00,11,51
280741,2022-09-23 06:00:00,11,80
40882,2021-05-03 09:00:00,97,8
80850,2021-07-26 16:00:00,80,170
848732,2022-08-04 22:00:00,18,10
388234,2022-01-02 00:00:00,6,6
253257,2023-12-03 03:00:00,10,6
991629,2021-07-30 19:00:00,38,0
194818,2021-08-01 05:00:00,30,55
750284,2024-05-07 01:00:00,40,94
920702,2022-02-22 14:00:00,51,21
448959,2024-08-08 04:00:00,13,23
6687,2021-10-06 15:00:00,21,50
1046200,2023-06-23 13:00:00,90,0
746348,2023-11-25 01:00:00,40,13
589035,2023-04-08 12:00:00,33,1
611717,2021-07-11 13:00:00,14,10
105165,2024-05-04 19:00:00,80,167
436731,2023-03-17 16:00:00,13,46
240655,2022-06-26 01:00:00,10,8
943925,2024-10-17 05:00:00,51,7
692571,2022-02-03 09:00:00,4,13
280152,2022-08-29 17:00:00,11,122
827065,2024-06-13 04:00:00,34,0
344391,2021-05-01 06:00:00,60,0
57854,2023-04-10 13:00:00,97,15
837567,2021-04-26 17:00:00,18,3
868730,2024-11-15 04:00:00,18,18
1011655,2023-11-12 05:00:00,38,0
1096212,2024-11-07 08:00:00,94,0
497831,2021-07-09 10:00:00,3,22
557792,2024-01-12 18:00:00,9,0
253902,2023-12-30 00:00:00,10,15
999823,2022-07-07 05:00:00,38,0
197239,2021-11-10 02:00:00,30,56
851552,2022-11-30 10:00:00,18,39
616008,2022-01-06 08:00:00,14,43
678275,2024-10-15 18:00:00,56,93
1082420,2023-04-12 16:00:00,94,0
533023,2021-03-16 17:00:00,9,0
997565,2022-04-04 03:00:00,38,0
536090,2021-07-22 12:00:00,9,5
630227,2023-08-21 19:00:00,14,0
861228,2024-01-07 14:00:00,18,6
248451,2023-05-16 21:00:00,10,36
120726,2021-10-15 03:00:00,70,91
263908,2025-02-18 22:00:00,10,62
198927,2022-01-19 10:00:00,30,83
965934,2022-12-23 05:00:00,65,0
964562,2022-10-27 01:00:00,65,0
408282,2024-04-16 08:00:00,6,120
402935,2023-09-06 13:00:00,6,93
1081477,2023-03-04 09:00:00,94,0
1020580,2024-11-18 02:00:00,38,0
274157,2021-12-22 22:00:00,11,28
639209,2024-08-30 01:00:00,14,1
550960,2023-04-03 02:00:00,9,1
775922,2022-12-11 06:00:00,24,11
781803,2023-08-13 07:00:00,24,11
72020,2024-11-20 19:00:00,97,8
680195,2025-01-03 18:00:00,56,8
744574,2023-09-12 03:00:00,40,55
91912,2022-10-30 14:00:00,80,67
1014576,2024-03-12 22:00:00,38,0
1044525,2023-04-14 18:00:00,90,0
680889,2025-02-01 16:00:00,56,79
887899,2022-09-24 20:00:00,8,2
696788,2022-07-29 02:00:00,4,0
726119,2021-08-04 04:00:00,40,54
316296,2022-06-15 16:00:00,20,44
626579,2023-03-22 19:00:00,14,17
246121,2023-02-08 19:00:00,10,68
990717,2021-06-22 19:00:00,38,0
474966,2023-03-29 18:00:00,99,1
562490,2024-07-26 12:00:00,9,10
719287,2025-02-20 13:00:00,4,35
598549,2024-05-08 22:00:00,33,4
697045,2022-08-08 19:00:00,4,1
1058021,2024-10-28 02:00:00,90,0
462132,2021-10-11 00:00:00,99,3
856786,2023-07-06 12:00:00,18,32
502637,2022-01-25 16:00:00,3,60
875814,2021-05-09 07:00:00,8,1
204623,2022-09-13 18:00:00,30,88
455767,2021-01-18 19:00:00,99,1
658203,2022-07-02 10:00:00,56,2
491429,2025-02-12 17:00:00,99,11
884965,2022-05-25 14:00:00,8,8
1007436,2023-05-20 10:00:00,38,0
534664,2021-05-24 02:00:00,9,0
1054607,2024-06-07 20:00:00,90,0
749856,2024-04-19 05:00:00,40,97
28326,2024-03-26 06:00:00,21,6
471577,2022-11-08 13:00:00,99,20
318941,2022-10-03 21:00:00,20,9
74114,2025-02-16 01:00:00,97,6
721701,2021-02-01 02:00:00,40,47
961436,2022-06-18 19:00:00,65,0
962,2021-02-10 02:00:00,21,2
405682,2023-12-30 00:00:00,6,28
994031,2021-11-07 21:00:00,38,0
601128,2024-08-24 09:00:00,33,1
383339,2021-06-12 01:00:00,6,2
925083,2022-08-24 03:00:00,51,10
352227,2022-03-23 18:00:00,60,11
577660,2021-12-20 13:00:00,33,3
356086,2022-08-31 13:00:00,60,11
171337,2023-03-26 21:00:00,50,64
990657,2021-06-20 07:00:00,38,0
257772,2024-06-08 06:00:00,10,31
222209,2024-09-15 12:00:00,30,77
75169,2025-04-01 00:00:00,97,12
569540,2021-01-16 05:00:00,33,1
905606,2024-10-01 15:00:00,8,28
770867,2022-05-14 15:00:00,24,0
732443,2022-04-24 16:00:00,40,15
126912,2022-06-29 21:00:00,70,127
682859,2025-04-24 18:00:00,56,96
9290,2022-01-23 02:00:00,21,2
639067,2024-08-24 03:00:00,14,4
390035,2022-03-18 01:00:00,6,16
1020587,2024-11-18 09:00:00,38,0
125584,2022-05-05 13:00:00,70,56
719061,2025-02-11 03:00:00,4,0
396836,2022-12-26 10:00:00,6,3
279560,2022-08-05 01:00:00,11,12
464952,2022-02-05 12:00:00,99,1
232082,2021-07-03 20:00:00,10,9
444292,2024-01-26 17:00:00,13,54
476562,2023-06-04 06:00:00,99,0
413990,2024-12-10 04:00:00,6,30
937564,2024-01-26 04:00:00,51,8
103867,2024-03-11 17:00:00,80,201
869297,2024-12-08 19:00:00,18,10
1075899,2022-07-14 23:00:00,94,0
1036327,2022-05-08 04:00:00,90,0
429065,2022-05-02 06:00:00,13,18
1086225,2023-09-18 05:00:00,94,0
988169,2021-03-08 15:00:00,38,0
1074890,2022-06-02 22:00:00,94,0
1073088,2022-03-19 20:00:00,94,0
857043,2023-07-17 05:00:00,18,7
251745,2023-10-01 03:00:00,10,43
379334,2025-04-26 05:00:00,60,4
323531,2023-04-13 03:00:00,20,4
676711,2024-08-11 14:00:00,56,2
898172,2023-11-26 21:00:00,8,2
475317,2023-04-13 09:00:00,99,20
872214,2025-04-09 08:00:00,18,47
399494,2023-04-16 04:00:00,6,14
98197,2023-07-19 11:00:00,80,255
756686,2025-01-28 19:00:00,40,149
658855,2022-07-29 14:00:00,56,2
452922,2025-01-20 07:00:00,13,10
811357,2022-08-28 16:00:00,34,3
337831,2024-11-28 23:00:00,20,5
1081098,2023-02-16 14:00:00,94,0
245669,2023-01-20 23:00:00,10,17
1047199,2023-08-04 04:00:00,90,0
603434,2024-11-28 11:00:00,33,0
1100245,2025-04-24 09:00:00,94,10
473696,2023-02-04 20:00:00,99,1
68060,2024-06-08 19:00:00,97,8
732810,2022-05-09 23:00:00,40,152
125457,2022-04-30 06:00:00,70,229
834901,2021-01-05 15:00:00,18,9
713926,2024-07-12 04:00:00,4,0
927105,2022-11-16 09:00:00,51,20
430663,2022-07-07 20:00:00,13,15
548949,2023-01-09 07:00:00,9,3
66925,2024-04-22 12:00:00,97,12
217634,2024-03-08 21:00:00,30,82
1089332,2024-01-25 16:00:00,94,0
568209,2025-03-21 19:00:00,9,0
1054685,2024-06-11 02:00:00,90,0
732310,2022-04-19 03:00:00,40,51
717238,2024-11-27 04:00:00,4,0
514792,2023-06-16 03:00:00,3,8
561451,2024-06-13 05:00:00,9,1
274538,2022-01-07 19:00:00,11,26
157801,2021-09-08 21:00:00,50,84
358530,2022-12-11 09:00:00,60,4
595266,2023-12-24 03:00:00,33,1
17784,2023-01-12 00:00:00,21,37
930666,2023-04-13 18:00:00,51,12
815207,2023-02-05 02:00:00,34,0
1054464,2024-06-01 21:00:00,90,0
489165,2024-11-10 09:00:00,99,1
23933,2023-09-25 05:00:00,21,8
81144,2021-08-07 22:00:00,80,42
390720,2022-04-15 14:00:00,6,74
462109,2021-10-10 01:00:00,99,4
487016,2024-08-12 20:00:00,99,1
487160,2024-08-18 20:00:00,99,0
936891,2023-12-29 03:00:00,51,3
899575,2024-01-24 08:00:00,8,19
915728,2021-07-30 08:00:00,51,12
483741,2024-03-29 09:00:00,99,32
707642,2023-10-24 08:00:00,4,24
508882,2022-10-12 21:00:00,3,29
182878,2024-07-19 18:00:00,50,121
553490,2023-07-17 12:00:00,9,6
90251,2022-08-22 09:00:00,80,147
609744,2021-04-20 08:00:00,14,46
997999,2022-04-22 05:00:00,38,0
130354,2022-11-20 07:00:00,70,267
965699,2022-12-13 10:00:00,65,0
219210,2024-05-13 13:00:00,30,117
734273,2022-07-09 22:00:00,40,10
983031,2024-12-04 14:00:00,65,0
517972,2023-10-26 15:00:00,3,147
398773,2023-03-17 03:00:00,6,14
994434,2021-11-24 16:00:00,38,0
530632,2025-04-06 03:00:00,3,10
572696,2021-05-27 17:00:00,33,2
1055922,2024-08-01 15:00:00,90,0
678280,2024-10-15 23:00:00,56,102
1015530,2024-04-21 16:00:00,38,0
396329,2022-12-05 07:00:00,6,94
222710,2024-10-06 09:00:00,30,78
626161,2023-03-05 09:00:00,14,7
36133,2025-02-14 13:00:00,21,61
464027,2021-12-28 23:00:00,99,2
1029410,2021-07-23 23:00:00,90,0
155377,2021-05-30 21:00:00,50,69
473654,2023-02-03 02:00:00,99,4
353737,2022-05-25 16:00:00,60,14
872206,2025-04-09 00:00:00,18,5
144351,2024-06-25 12:00:00,70,90
382396,2021-05-03 18:00:00,6,40
499706,2021-09-25 13:00:00,3,3
360474,2023-03-02 09:00:00,60,9
522127,2024-04-16 18:00:00,3,53
176260,2023-10-18 00:00:00,50,127
541381,2022-02-27 23:00:00,9,1
522615,2024-05-07 02:00:00,3,9
831030,2024-11-25 09:00:00,34,27
1045551,2023-05-27 12:00:00,90,0
776015,2022-12-15 03:00:00,24,9
1097950,2025-01-18 18:00:00,94,0
38790,2021-02-05 05:00:00,97,6
30250,2024-06-14 10:00:00,21,36
61258,2023-08-30 09:00:00,97,13
657470,2022-06-01 21:00:00,56,2
225079,2025-01-13 02:00:00,30,71
411735,2024-09-07 05:00:00,6,20
88911,2022-06-27 13:00:00,80,156
934702,2023-09-28 22:00:00,51,12
315656,2022-05-20 00:00:00,20,8
433952,2022-11-21 21:00:00,13,6
958453,2022-02-14 12:00:00,65,0
473391,2023-01-23 03:00:00,99,1
485949,2024-06-29 09:00:00,99,1
534157,2021-05-02 23:00:00,9,0
819848,2023-08-17 11:00:00,34,31
52416,2022-08-26 23:00:00,97,6
550278,2023-03-05 16:00:00,9,1
35778,2025-01-30 18:00:00,21,81
297348,2024-08-15 05:00:00,11,54
419359,2021-03-23 20:00:00,13,12
57982,2023-04-15 21:00:00,97,4
615414,2021-12-12 14:00:00,14,4
368470,2024-01-29 13:00:00,60,16
452820,2025-01-16 01:00:00,13,12
406806,2024-02-14 20:00:00,6,74
438916,2023-06-16 17:00:00,13,42
485371,2024-06-05 07:00:00,99,20
100051,2023-10-04 17:00:00,80,207
1033317,2022-01-02 18:00:00,90,0
791014,2024-08-31 02:00:00,24,12
1091262,2024-04-15 02:00:00,94,0
794436,2025-01-20 16:00:00,24,11
830784,2024-11-15 03:00:00,34,0
