,DateTimeInterval,LotNumber,ActiveCarsCount
435471,2023-01-24 04:00:00,13,2
938086,2024-02-16 22:00:00,51,5
367224,2023-12-08 15:00:00,60,8
865076,2024-06-15 22:00:00,18,12
210969,2023-06-05 04:00:00,30,71
19295,2023-03-15 23:00:00,21,27
154942,2021-05-12 18:00:00,50,76
63528,2023-12-02 23:00:00,97,9
853452,2023-02-17 14:00:00,18,34
791238,2024-09-09 10:00:00,24,60
883293,2022-03-16 22:00:00,8,0
399522,2023-04-17 08:00:00,6,91
892882,2023-04-20 11:00:00,8,14
617566,2022-03-12 06:00:00,14,4
1069514,2021-10-21 22:00:00,94,0
503556,2022-03-04 23:00:00,3,11
199609,2022-02-16 20:00:00,30,79
520317,2024-02-01 08:00:00,3,154
691169,2021-12-06 23:00:00,4,0
492008,2025-03-08 20:00:00,99,2
809381,2022-06-07 08:00:00,34,11
626446,2023-03-17 06:00:00,14,8
800745,2021-06-12 12:00:00,34,1
421220,2021-06-09 09:00:00,13,65
319839,2022-11-10 07:00:00,20,31
233214,2021-08-20 00:00:00,10,6
916125,2021-08-15 21:00:00,51,3
901899,2024-04-30 04:00:00,8,7
677858,2024-09-28 09:00:00,56,78
737477,2022-11-20 10:00:00,40,21
982020,2024-10-23 11:00:00,65,0
666971,2023-07-02 18:00:00,56,1
116164,2021-04-08 01:00:00,70,119
524002,2024-07-03 21:00:00,3,20
455557,2021-01-10 01:00:00,99,1
998425,2022-05-09 23:00:00,38,0
860555,2023-12-10 13:00:00,18,5
630854,2023-09-16 22:00:00,14,0
761670,2021-04-26 10:00:00,24,24
452696,2025-01-10 21:00:00,13,11
333028,2024-05-12 20:00:00,20,8
204043,2022-08-20 14:00:00,30,79
743557,2023-07-31 18:00:00,40,129
449637,2024-09-05 10:00:00,13,136
806529,2022-02-08 12:00:00,34,24
180469,2024-04-10 09:00:00,50,91
1059891,2025-01-14 00:00:00,90,0
894122,2023-06-11 03:00:00,8,2
597551,2024-03-28 08:00:00,33,23
285871,2023-04-25 00:00:00,11,12
531153,2025-04-27 20:00:00,3,49
1024011,2025-04-10 01:00:00,38,0
95969,2023-04-17 15:00:00,80,248
359701,2023-01-29 04:00:00,60,0
499012,2021-08-27 15:00:00,3,56
220482,2024-07-05 13:00:00,30,66
1070609,2021-12-06 13:00:00,94,0
940650,2024-06-02 18:00:00,51,1
86415,2022-03-15 13:00:00,80,174
505024,2022-05-05 03:00:00,3,43
1084630,2023-07-13 18:00:00,94,0
710729,2024-02-29 23:00:00,4,2
328670,2023-11-13 06:00:00,20,19
20284,2023-04-26 04:00:00,21,19
987033,2021-01-20 07:00:00,38,0
1091557,2024-04-27 09:00:00,94,0
53438,2022-10-08 13:00:00,97,3
344150,2021-04-21 05:00:00,60,2
474757,2023-03-21 01:00:00,99,1
217766,2024-03-14 09:00:00,30,106
137595,2023-09-18 00:00:00,70,127
44330,2021-09-24 01:00:00,97,10
339850,2025-02-21 02:00:00,20,20
283824,2023-01-29 17:00:00,11,47
985831,2025-03-31 06:00:00,65,0
1012255,2023-12-07 05:00:00,38,0
472185,2022-12-03 21:00:00,99,2
